Location,Location_Type,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes,Persons_Killed,District,Road_Name,Year,Category,Time_Period,Victim_Type
Jharoda Road,Road,7,13,0,10,7,,Jharoda Road,2022,Road,All,All
Kanjhawala Road,Road,10,20,0,33,10,,Kanjhawala Road,2022,Road,All,All
Lala Lajpat Rai Path,Road,5,21,1,20,5,,Lala Lajpat Rai Path,2022,Road,All,All
Loni Road,Road,3,14,1,7,3,,Loni Road,2022,Road,All,All
Mahipal Pur Road,Road,3,15,1,22,3,,Mahipal Pur Road,2022,Road,All,All
Mandoli Road,Road,1,5,0,2,1,,Mandoli Road,2022,Road,All,All
Mayapuri Marg,Road,6,11,0,17,6,,Mayapuri Marg,2022,Road,All,All
Mehrauli Badarpur Road,Road,20,24,1,45,20,,Mehrauli Badarpur Road,2022,Road,All,All
Mehrauli Gurgaon Road,Road,9,24,0,33,9,,Mehrauli Gurgaon Road,2022,Road,All,All
Najafgarh Road,Road,24,94,2,120,24,,Najafgarh Road,2022,Road,All,All
Najafgarh Nangloi Road,Road,4,25,0,29,4,,Najafgarh Nangloi Road,2022,Road,All,All
Nangloi Sultanpuri Road,Road,0,0,0,0,0,,Nangloi Sultanpuri Road,2022,Road,All,All
Naraina Road,Road,1,3,0,4,1,,Naraina Road,2022,Road,All,All
Narela Road,Road,9,20,0,29,9,,Narela Road,2022,Road,All,All
Nelson Mandela Marg,Road,2,2,0,4,2,,Nelson Mandela Marg,2022,Road,All,All
New Rohtak Road,Road,5,20,0,25,5,,New Rohtak Road,2022,Road,All,All
NH-24,Road,25,68,0,93,25,,NH-24,2022,Road,All,All
NH-8,Road,29,55,0,84,29,,NH-8,2022,Road,All,All
Noida DND Road,Road,2,8,0,10,2,,Noida DND Road,2022,Road,All,All
Old Gurgaon Road,Road,4,5,0,9,4,,Old Gurgaon Road,2022,Road,All,All
Old Rohtak Road,Road,4,3,0,7,4,,Old Rohtak Road,2022,Road,All,All
Olof Palme Marg,Road,0,0,1,1,0,,Olof Palme Marg,2022,Road,All,All
Outer Circle C. Place,Road,4,4,0,8,4,,Outer Circle C. Place,2022,Road,All,All
Outer Ring Road,Road,102,239,8,349,102,,Outer Ring Road,2022,Road,All,All
Palam Dabri Road,Road,2,14,0,16,2,,Palam Dabri Road,2022,Road,All,All
Palla Road,Road,5,8,0,13,5,,Palla Road,2022,Road,All,All
Panchkuian Road,Road,2,2,1,5,2,,Panchkuian Road,2022,Road,All,All
Pankha Road,Road,9,19,0,28,9,,Pankha Road,2022,Road,All,All
Patel Road,Road,7,23,0,30,7,,Patel Road,2022,Road,All,All
Patpar Ganj Road,Road,3,6,1,10,3,,Patpar Ganj Road,2022,Road,All,All
Press Enclave Marg,Road,4,5,0,9,4,,Press Enclave Marg,2022,Road,All,All
Prithvi Raj Road,Road,1,9,0,10,1,,Prithvi Raj Road,2022,Road,All,All
Qutab Road,Road,1,2,0,3,1,,Qutab Road,2022,Road,All,All
Raja Ram Marg,Road,4,5,0,9,4,,Raja Ram Marg,2022,Road,All,All
Rama Road,Road,3,7,0,10,3,,Rama Road,2022,Road,All,All
Rani Jhansi Road,Road,0,5,0,5,0,,Rani Jhansi Road,2022,Road,All,All
Rao Tula Ram Marg,Road,3,10,2,15,3,,Rao Tula Ram Marg,2022,Road,All,All
Ravi Das Marg,Road,1,18,0,8,1,,Ravi Das Marg,2022,Road,All,All
Ring Road,Road,119,223,7,280,119,,Ring Road,2022,Road,All,All
Rithala Road,Road,0,2,0,1,0,,Rithala Road,2022,Road,All,All
Road No 13,Road,0,0,0,,0,,Road No 13,2022,Road,All,All
Road No,Road,0,2,0,2,0,,Road No,2022,Road,All,All
Road No 37,Road,1,3,0,3,1,,Road No 37,2022,Road,All,All
Road No 40,Road,2,14,0,,2,,Road No 40,2022,Road,All,All
Road No 41,Road,2,5,0,16,2,,Road No 41,2022,Road,All,All
Road No 56,Road,15,23,0,,15,,Road No 56,2022,Road,All,All
Road No 57,Road,6,20,1,16,6,,Road No 57,2022,Road,All,All
Road No 66,Road,0,11,0,14,0,,Road No 66,2022,Road,All,All
Rohtak Road,Road,63,126,2,136,63,,Rohtak Road,2022,Road,All,All
Roshanara Road,Road,3,9,0,10,3,,Roshanara Road,2022,Road,All,All
Shanti Path,Road,0,0,0,0,0,,Shanti Path,2022,Road,All,All
Station Road,Road,1,7,1,10,1,,Station Road,2022,Road,All,All
Todapur Road (Dps Marg),Road,4,14,0,16,4,,Todapur Road (Dps Marg),2022,Road,All,All
Vikas Marg,Road,9,33,0,36,9,,Vikas Marg,2022,Road,All,All
Viveka Nand Marg,Road,0,2,0,1,0,,Viveka Nand Marg,2022,Road,All,All
Wazirabad Road,Road,25,78,2,101,25,,Wazirabad Road,2022,Road,All,All
Yamuna Pushta Road,Road,12,18,0,23,12,,Yamuna Pushta Road,2022,Road,All,All
Road No 13A,Road,6,12,0,23,6,,Road No 13A,2022,Road,All,All
Baba Kharak Singh Marg,Road,3,10,0,12,3,,Baba Kharak Singh Marg,2022,Road,All,All
Bawana Auchandi Road,Road,5,2,0,2,5,,Bawana Auchandi Road,2022,Road,All,All
Bijwasan Road,Road,7,13,0,21,7,,Bijwasan Road,2022,Road,All,All
Burari Road,Road,6,9,1,22,6,,Burari Road,2022,Road,All,All
Chhawla Road,Road,1,3,0,3,1,,Chhawla Road,2022,Road,All,All
DDU Marg,Road,1,5,0,3,1,,DDU Marg,2022,Road,All,All
Jai Singh Road,Road,0,0,0,1,0,,Jai Singh Road,2022,Road,All,All
Jail Road,Road,1,7,0,10,1,,Jail Road,2022,Road,All,All
Jaitpur Road,Road,4,0,0,11,4,,Jaitpur Road,2022,Road,All,All
Janpath,Road,2,5,0,6,2,,Janpath,2022,Road,All,All
Kotla Road,Road,4,4,0,12,4,,Kotla Road,2022,Road,All,All
Lodi Road,Road,0,2,1,6,0,,Lodi Road,2022,Road,All,All
Maharaja Surajmal Road,Road,0,3,0,1,0,,Maharaja Surajmal Road,2022,Road,All,All
Pusa Road,Road,2,6,0,13,2,,Pusa Road,2022,Road,All,All
Pusta Road,Road,10,53,1,36,10,,Pusta Road,2022,Road,All,All
Qutab Garh Road,Road,2,2,0,4,2,,Qutab Garh Road,2022,Road,All,All
Ramdev Marg,Road,0,2,0,1,0,,Ramdev Marg,2022,Road,All,All
Ridge Road,Road,2,2,1,6,2,,Ridge Road,2022,Road,All,All
Sardar Patel Marg,Road,5,5,0,7,5,,Sardar Patel Marg,2022,Road,All,All
S P M Marg,Road,4,1,0,0,4,,S P M Marg,2022,Road,All,All
Desh Bandu Gupta Rd,Road,10,,,26,10,Unknown,Desh Bandu Gupta Rd,2022,District Road,All,All
Ring Road,Road,9,,,32,9,Unknown,Ring Road,2022,District Road,All,All
Jawar Lal Nehru Rd,Road,6,,,17,6,Unknown,Jawar Lal Nehru Rd,2022,District Road,All,All
New Rohtak Road,Road,4,,,19,4,Unknown,New Rohtak Road,2022,District Road,All,All
Vikas Marg,Road,4,,,13,4,Unknown,Vikas Marg,2022,District Road,All,All
Patel Road,Road,2,,,14,2,Unknown,Patel Road,2022,District Road,All,All
Pusa Road,Road,2,,,8,2,Unknown,Pusa Road,2022,District Road,All,All
Minto Road,Road,2,,,2,2,Unknown,Minto Road,2022,District Road,All,All
Indra Prastha Marg,Road,2,,,2,2,Unknown,Indra Prastha Marg,2022,District Road,All,All
Bahadur Shah Zr Marg,Road,1,,,7,1,Unknown,Bahadur Shah Zr Marg,2022,District Road,All,All
Najafgarh Road,Road,11,,,57,12,Unknown,Najafgarh Road,2022,District Road,All,All
201 No. Road,Road,10,,,51,10,Unknown,201 No. Road,2022,District Road,All,All
Dansha Road,Road,8,,,17,9,Unknown,Dansha Road,2022,District Road,All,All
Jharoda Road,Road,7,,,20,7,Unknown,Jharoda Road,2022,District Road,All,All
Palam Dabri Road,Road,1,,,15,1,Unknown,Palam Dabri Road,2022,District Road,All,All
Najafgarh Nangloi Road,Road,1,,,7,1,Unknown,Najafgarh Nangloi Road,2022,District Road,All,All
Chhawla Road,Road,1,,,4,1,Unknown,Chhawla Road,2022,District Road,All,All
Dabri-Nasirpur Road,Road,1,,,3,1,Unknown,Dabri-Nasirpur Road,2022,District Road,All,All
Ghuman Hera Marg,Road,1,,,1,1,Unknown,Ghuman Hera Marg,2022,District Road,All,All
Bharthal Marg,Road,1,,,1,1,Unknown,Bharthal Marg,2022,District Road,All,All
NH-24,Road,23,,,88,24,Unknown,NH-24,2022,District Road,All,All
Road No 56,Road,13,,,30,13,Unknown,Road No 56,2022,District Road,All,All
Yamuna Pusta Road,Road,6,,,14,6,Unknown,Yamuna Pusta Road,2022,District Road,All,All
Kotla Road,Road,4,,,8,4,Unknown,Kotla Road,2022,District Road,All,All
Vikas Marg,Road,3,,,24,4,Unknown,Vikas Marg,2022,District Road,All,All
Road No 57,Road,3,,,13,3,Unknown,Road No 57,2022,District Road,All,All
Noida Road,Road,2,,,13,2,Unknown,Noida Road,2022,District Road,All,All
Patpar Ganj Road,Road,2,,,8,2,Unknown,Patpar Ganj Road,2022,District Road,All,All
Narwana Road,Road,1,,,5,1,Unknown,Narwana Road,2022,District Road,All,All
Khichari Pur Road,Road,1,,,3,1,Unknown,Khichari Pur Road,2022,District Road,All,All
Sardar Patel Marg,Road,5,,,10,5,Unknown,Sardar Patel Marg,2022,District Road,All,All
Outer Circle CP,Road,4,,,8,4,Unknown,Outer Circle CP,2022,District Road,All,All
Baba Kharak Singh Marg,Road,3,,,13,3,Unknown,Baba Kharak Singh Marg,2022,District Road,All,All
Ashoka Road,Road,3,,,10,3,Unknown,Ashoka Road,2022,District Road,All,All
Ring Road,Road,3,,,4,3,Unknown,Ring Road,2022,District Road,All,All
Janpath,Road,2,,,7,2,Unknown,Janpath,2022,District Road,All,All
Vinay Marg,Road,2,,,6,2,Unknown,Vinay Marg,2022,District Road,All,All
